resource_path,disc1_lsn,disc2_lsn,disc1_size,disc2_size,disc1_sha256,disc2_sha256,byte_identical
DATA/00000100.MDZ,0x1982EB,0x186543,141,141,e7a0af2bfa60de10e895baadd201e54f161a37c7f8a77f2be46a0a20a48d0f4e,e7a0af2bfa60de10e895baadd201e54f161a37c7f8a77f2be46a0a20a48d0f4e,1
DATA/00000101.MDZ,0x1982EC,0x186544,141,141,c15a1296f2d8a688938e0491c3ae217900ac9b29b866117d4a3b6a5a35eb4897,c15a1296f2d8a688938e0491c3ae217900ac9b29b866117d4a3b6a5a35eb4897,1
DATA/00000200.MDZ,0x1982ED,0x186545,583420,583420,144aa52e310db848dbb3534deb8f41b579058210426c3ea4b9ea384e389d373a,144aa52e310db848dbb3534deb8f41b579058210426c3ea4b9ea384e389d373a,1
DATA/00000201.MDZ,0x19840A,0x186662,649044,649044,97108d6441d7b5700e7b0a9df85bd990859f27950be1dd05a389220e52f01da4,97108d6441d7b5700e7b0a9df85bd990859f27950be1dd05a389220e52f01da4,1
DATA/00008000.MDZ,0x198547,0x18679F,264939,264939,c0d39ad94037e01406bf4a851c8e9759441640e3325940e12e1b97211ecdfae5,c0d39ad94037e01406bf4a851c8e9759441640e3325940e12e1b97211ecdfae5,1
DATA/00030000.MDZ,0x1985C9,0x186821,5835158,5835158,443fd785c73ca93b061d9e1537debf2f0df1522255c2008bcf7031ab26a5d3a3,443fd785c73ca93b061d9e1537debf2f0df1522255c2008bcf7031ab26a5d3a3,1
DATA/00030100.MDZ,0x1990EB,0x187343,1766163,1766163,404651c04211b5551f07235d7ad3423392b0a83ba34ff456c035168f0d1f2910,404651c04211b5551f07235d7ad3423392b0a83ba34ff456c035168f0d1f2910,1
DATA/00030200.MDZ,0x19944A,0x1876A2,1809071,1809071,e85617d361da7c34fb13894c316dc189d8a680e736a7da4bae683b9e11233467,e85617d361da7c34fb13894c316dc189d8a680e736a7da4bae683b9e11233467,1
DATA/00030300.MDZ,0x1997BE,0x187A16,1172007,1172007,4ce9ecb8122ca2c14441fc5177cf03cafba1bb29c6ce8c730b7150914ca0062b,4ce9ecb8122ca2c14441fc5177cf03cafba1bb29c6ce8c730b7150914ca0062b,1
DATA/00030400.MDZ,0x1999FB,0x187C53,743574,743574,7fcbf892f1475c93868225a33b402a77134a7f22cd0a2061c877181e1769f741,7fcbf892f1475c93868225a33b402a77134a7f22cd0a2061c877181e1769f741,1
DATA/00030500.MDZ,0x199B67,0x187DBF,1762242,1762242,7c4a9870cefe0dee4528116c80f0384790e03b7081ef62b45f3244f1f9aa9ab0,7c4a9870cefe0dee4528116c80f0384790e03b7081ef62b45f3244f1f9aa9ab0,1
DATA/00030600.MDZ,0x199EC4,0x18811C,1645389,1645389,3700ce467dde827542783e9238553f65fc79c8658c598705408e540cc5661da2,3700ce467dde827542783e9238553f65fc79c8658c598705408e540cc5661da2,1
DATA/00030800.MDZ,0x19A1E8,0x188440,1603108,1603108,7da8f0e6d386ab83326f27f30bc92c50e33aea7f89761cda0be61346621368da,7da8f0e6d386ab83326f27f30bc92c50e33aea7f89761cda0be61346621368da,1
DATA/00030900.MDZ,0x19A4F7,0x18874F,1203849,1203849,929be4bbaf0657e61dded25ad84c25519ef2e42435b1a97af1517a30733b2127,929be4bbaf0657e61dded25ad84c25519ef2e42435b1a97af1517a30733b2127,1
DATA/00031100.MDZ,0x19A743,0x18899B,1303509,1303509,2b0baf8515fb5c2fa7afb6288997a7e118d95fa35ee67f7cfc6f41b00c46e4f2,2b0baf8515fb5c2fa7afb6288997a7e118d95fa35ee67f7cfc6f41b00c46e4f2,1
DATA/00031200.MDZ,0x19A9C0,0x188C18,1166431,1166431,46bd047cdbe7dedc8a3ba5b55d8d198305fd87c8c25ee4d17c069febc73b9cea,46bd047cdbe7dedc8a3ba5b55d8d198305fd87c8c25ee4d17c069febc73b9cea,1
DATA/00031300.MDZ,0x19ABFA,0x188E52,1252815,1252815,512e8ac68f87959e3d3355eb9f13a41e6e6c5286b27ef86895f36fbba3caf145,512e8ac68f87959e3d3355eb9f13a41e6e6c5286b27ef86895f36fbba3caf145,1
DATA/00037700.MDZ,0x19AE5E,0x1890B6,4392000,4392000,49feb97fb0ee8e249af04845c3080b1e6060e0161acbdfd116b873f2b655df1c,49feb97fb0ee8e249af04845c3080b1e6060e0161acbdfd116b873f2b655df1c,1
DATA/00060000.MDZ,0x19B6BF,0x189917,1925127,1925127,4f5b5b45f9384ed0d958d25f0176fc28bdb1d871949b8a85cf5293a632f9c68b,4f5b5b45f9384ed0d958d25f0176fc28bdb1d871949b8a85cf5293a632f9c68b,1
DATA/00061000.MDZ,0x19BA6C,0x189CC4,2968858,2968858,76357f325394f407f17cc9f948ed1cd9e3bad5d7b007da7dfd16db6bcd367693,76357f325394f407f17cc9f948ed1cd9e3bad5d7b007da7dfd16db6bcd367693,1
DATA/00061100.MDZ,0x19C016,0x18A26E,1722647,1722647,2fa77c896713fc9f098323e4857b6deb97224e9907ee3af954f0f8ed74ba97d1,2fa77c896713fc9f098323e4857b6deb97224e9907ee3af954f0f8ed74ba97d1,1
DATA/00061300.MDZ,0x19C360,0x18A5B8,2671904,2671904,695712483cbfcd8deca5014c2371c5ed68531e5d843a9a67129ddd1635b12daa,695712483cbfcd8deca5014c2371c5ed68531e5d843a9a67129ddd1635b12daa,1
DATA/00067700.MDZ,0x19C879,0x18AAD1,830430,830430,bb49d1d287968f3f29ac3b66f4bd5593ba7923aa94ba6647fd4f70d27f39a5d3,bb49d1d287968f3f29ac3b66f4bd5593ba7923aa94ba6647fd4f70d27f39a5d3,1
DATA/00067800.MDZ,0x19CA0F,0x18AC67,1003092,1003092,164dfb6d36fe761a0bc2207dbaa4094c6919591d5af9d958b1fbbbe6670068dc,164dfb6d36fe761a0bc2207dbaa4094c6919591d5af9d958b1fbbbe6670068dc,1
DATA/00090000.MDZ,0x19CBF9,0x18AE51,1739831,1739831,dc32293cde8d9880a21c31b45a94300bddf28a23363603cd8e9af541ef91d72d,dc32293cde8d9880a21c31b45a94300bddf28a23363603cd8e9af541ef91d72d,1
DATA/00090100.MDZ,0x19CF4B,0x18B1A3,2817182,2817182,a3272643ea5bc2ed916b4e358a9d63a5d2aa8656ada027a65fb8e7090ed014f0,a3272643ea5bc2ed916b4e358a9d63a5d2aa8656ada027a65fb8e7090ed014f0,1
DATA/00120000.MDZ,0x19D4AB,0x18B703,3470125,3470125,b0d644cb693c4002b734a99c92857ff1c3d408ec5ac6db18e8e8d02b92c8d86f,b0d644cb693c4002b734a99c92857ff1c3d408ec5ac6db18e8e8d02b92c8d86f,1
DATA/00120100.MDZ,0x19DB4A,0x18BDA2,1830654,1830654,0ac7df348044f94d5680a51b66d33a0d557ed9ceb281c10a324d659978d08a78,0ac7df348044f94d5680a51b66d33a0d557ed9ceb281c10a324d659978d08a78,1
DATA/00120200.MDZ,0x19DEC8,0x18C120,1592548,1592548,518b4c902993af369937444b28a05ac294bb6b99ffda06436b232f2164617572,518b4c902993af369937444b28a05ac294bb6b99ffda06436b232f2164617572,1
DATA/00150100.MDZ,0x19E1D2,0x18C42A,2305607,2305607,ff924e0b31ac8b1f07de8ea07cf831bfb370466340b1d5b6c02ebf2771fe3b2c,ff924e0b31ac8b1f07de8ea07cf831bfb370466340b1d5b6c02ebf2771fe3b2c,1
