event_id,stream_key,segment_index,start_seconds,end_seconds,speaker,japanese_base,japanese_small,japanese_reviewed,japanese_status,korean_reviewed,korean_status,context_note,evidence,review_notes
gr3_stream_0099,0x99,0,10.680,16.760,ダーナ,,"よくぞおいでくださいました。尊き神の使い、コミュートよ。","よくぞおいでくださいました。尊き神の使い、コミュートよ。",NEEDS_AUDIO_REVIEW,"어서 오십시오. 존귀한 신의 사자, 커뮤트여.",DRAFT_CONTEXT_REVIEWED,바쿠라 족장의 텐트에서 다나와 처음 대면하는 장면.,"좌·혼합 채널의 겹침 Whisper-small 단어 시간과 상태저장 화면 및 공개 영문 장면 스크립트를 교차 검수.",첫 호칭은 음절과 Honored Communicator 문맥으로 尊き神の使い로 복원.
gr3_stream_0099,0x99,1,25.000,30.820,ダーナ,,"私が、このバクラの長、ダーナと申します。","私が、このバクラの長、ダーナと申します。",NEEDS_AUDIO_REVIEW,"저는 바쿠라의 족장, 다나라고 합니다.",DRAFT_CONTEXT_REVIEWED,바쿠라 족장의 텐트에서 다나와 처음 대면하는 장면.,"slot0 progress 1801 ticks=30.017초가 이 자기소개와 상태저장 화면에 일치.",런타임 싱크 기준점.
gr3_stream_0099,0x99,2,36.020,41.620,ダーナ,,"あなた方の来訪は、この精霊宿りしカードが教えてくれました。","あなた方の来訪は、この精霊宿りしカードが教えてくれました。",NEEDS_AUDIO_REVIEW,"여러분이 오실 것은 이 정령이 깃든 카드가 알려 주었습니다.",DRAFT_CONTEXT_REVIEWED,바쿠라 족장의 텐트에서 다나와 처음 대면하는 장면.,좌·혼합 채널 및 다나의 정령 카드 설정 대조.,精霊宿りし 카드 어구 복원.
gr3_stream_0099,0x99,3,42.860,49.120,アルフィナ,,"ダーナさん、私たち、聖獣様に会わせていただくためにここへ来たんです。","ダーナさん、私たち、聖獣様に会わせていただくためにここへ来たんです。",NEEDS_AUDIO_REVIEW,"다나, 저희는 성수님을 만나 뵙기 위해 여기까지 왔어요.",DRAFT_CONTEXT_REVIEWED,바쿠라 족장의 텐트에서 다나와 처음 대면하는 장면.,좌·혼합 채널과 영문 장면 흐름 교차 검수.,
gr3_stream_0099,0x99,4,51.300,52.740,ダーナ,,"ええ、心得ています。","ええ、心得ています。",NEEDS_AUDIO_REVIEW,"네, 알고 있습니다.",DRAFT_CONTEXT_REVIEWED,바쿠라 족장의 텐트에서 다나와 처음 대면하는 장면.,좌·혼합 채널 교차 검수.,
gr3_stream_0099,0x99,5,54.080,58.280,ダーナ,,"これでようやく、ヨウト様のお言葉がいただけるのですね。","これでようやく、ヨウト様のお言葉がいただけるのですね。",NEEDS_AUDIO_REVIEW,"이제야 요우트 님의 말씀을 들을 수 있겠군요.",DRAFT_CONTEXT_REVIEWED,바쿠라 족장의 텐트에서 다나와 처음 대면하는 장면.,좌·혼합 채널과 프로젝트 성수명 표기 대조.,用途 오인식을 ヨウト로 교정.
gr3_stream_0099,0x99,6,59.320,62.120,ユウキ,,"その前に、聞いてほしいことがあるんだ。","その前に、聞いてほしいことがあるんだ。",NEEDS_AUDIO_REVIEW,"그 전에 들어 줬으면 하는 이야기가 있어.",DRAFT_CONTEXT_REVIEWED,바쿠라 족장의 텐트에서 다나와 처음 대면하는 장면.,좌·혼합 채널 교차 검수.,
gr3_stream_0099,0x99,7,65.880,70.320,アルフィナ,,"実は、私の故郷、アークリフで……。","実は、私の故郷、アークリフで……。",NEEDS_AUDIO_REVIEW,"사실은 제 고향 아크리프에서…….",DRAFT_CONTEXT_REVIEWED,바쿠라 족장의 텐트에서 다나와 처음 대면하는 장면.,좌·혼합 채널과 프로젝트 지명 표기 대조.,
gr3_stream_0099,0x99,8,74.400,79.780,ダーナ,,"そ、そんな！聖獣の長であるグリフ様が亡くなられるなんて……。","そ、そんな！聖獣の長であるグリフ様が亡くなられるなんて……。",NEEDS_AUDIO_REVIEW,"그, 그럴 수가! 성수들의 수장인 그리프 님께서 돌아가셨다니…….",DRAFT_CONTEXT_REVIEWED,바쿠라 족장의 텐트에서 다나와 처음 대면하는 장면.,좌·혼합 채널과 영문 장면 스크립트 교차 검수.,蝶 오인식을 長로 교정.
gr3_stream_0099,0x99,9,90.720,96.120,アルフィナ,,"けれど、グリフ様は「愛を信じよ」という言葉を残してくださいました。","けれど、グリフ様は「愛を信じよ」という言葉を残してくださいました。",NEEDS_AUDIO_REVIEW,"하지만 그리프 님께서는 ‘사랑을 믿어라’라는 말씀을 남기셨어요.",DRAFT_CONTEXT_REVIEWED,바쿠라 족장의 텐트에서 다나와 처음 대면하는 장면.,좌·혼합 채널과 앞선 그리프 장면 용어 대조.,
