id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note,canonical_jp_text,reference_glyph_status,reference_glyphs_used
SCN_00008000_00740000_0006,SCENARIO,scenario_message,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,5,0x00049816,0x00049811,9c 21 9c 74 21 c4 3f f0 3a f0 df 08 2c f0 3a f0 e9 9d ac f4 98 90 79 9c a0 7e 44 0d ff 00,"な、なぁ、アロンソ
ホントに勝てそうなのか？","나, 나아, 알론소
정말 이길 수 있을 것 같아?",UNASSIGNED,アルフィナ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0c 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":12},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":27,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_alfina_01; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"な<G0001>な<G0054><G0001>アロンソ
ホントに勝てそうなのか？",SUPPORTED,"0001,0054"
SCN_00008000_00740000_0007,SCENARIO,scenario_message,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,6,0x00049bfb,0x00049bf6,2c f0 3a f0 e9 21 b1 95 9a b4 9c 77 ab f3 08 90 be 8b b5 61 f2 a1 b4 f2 bb 9c 77 a1 8d 93 c0 0d ff 00,"ホント、みっともない顔
それじゃ男は寄らないはずだわ","정말, 꼴이 말이 아니네
그래서야 남자가 꼬일 리 없지",UNASSIGNED,アロンソ,"[{""offset"":-5,""raw_hex"":""22 0e 00 24 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":36},{""offset"":14,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":31,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_alonso_03; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ホント<G0001>みっともない<G03CB>
それじゃ男は寄らないはずだわ",SUPPORTED,"0001,03CB"
SCN_00030000_00740000_0005,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,4,0x008d1049,0x008d1044,77 f0 78 f0 c5 f0 a0 7d 70 f4 88 c2 46 08 77 96 21 b2 f1 7e bb b0 f3 95 98 80 92 a0 44 0d ff 00,"道具屋のお姉さん…
いつ、森から戻ってきたの？","도구점 누나…
언제 숲에서 돌아온 거야?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":13,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":29,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"道具<G0175>のお<G0460>さん<G0026>
いつ<G0001>森から<G03D0>ってきたの？",SUPPORTED,"0001,0026,0175,03D0,0460"
SCN_00030000_00740000_0006,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,5,0x008d10c6,0x008d10c1,b0 21 b0 74 9f 46 0d ff 00,ま、まぁね…,"뭐, 뭐 그렇지…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":6,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,ま<G0001>ま<G0054>ね<G0026>,SUPPORTED,"0001,0026,0054"
SCN_00030000_00740000_0008,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,7,0x008d11a4,0x008d119f,95 98 7e 21 23 f0 e8 c9 ba 21 90 be 46 0d ff 00,ってか、ヒデェよ、それ…,"그러니까, 진짜 너무하잖아, 그건…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 06 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":6},{""offset"":13,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_07; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,ってか<G0001>ヒデェよ<G0001>それ<G0026>,SUPPORTED,"0001,0026"
SCN_00030000_00740000_0009,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,8,0x008d1215,0x008d1210,2e f4 95 98 bd 86 9a 08 32 f0 e3 34 f0 d1 e3 34 f0 93 ba 46 08 77 96 b4 a0 da f0 93 84 9b 88 0d ff 00,"言ってること
メチャクチャだよ…
いつもの事だけどさ","말하는 게
완전 엉망이야…
평소에도 그렇지만 말이야",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":20,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":31,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"<G041E>ってること
メチャクチャだよ<G0026>
いつもの事だけどさ",SUPPORTED,"0026,041E"
SCN_00030000_00740000_0011,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,10,0x008d13cb,0x008d13c6,b6 95 a3 bc 21 77 77 b6 08 99 f2 dc f2 d5 3a f0 2d f0 95 98 9c 9d 44 08 b2 f1 99 9b 79 b6 95 98 c1 f1 bb f1 8a 98 92 a0 44 08 90 c2 9c ec f1 ed f1 21 9b 86 99 ec f1 95 92 a0 44 0d ff 00,"やっぱり、いいや
空中コンボってなに？
森でどうやって生活してたの？
そんな知識、どこで知ったの？","역시, 됐어
공중 콤보가 뭐야?
숲에서 어떻게 살았던 거야?
그런 지식은 어디서 알았어?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":8,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":23,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":41,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":59,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"やっ<G0083>り<G0001>いいや
空中コンボってなに？
森でどうやって生活してたの？
そんな知識<G0001>どこで知ったの？",SUPPORTED,"0001,0083"
SCN_00030000_00740000_0013,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,12,0x008d1524,0x008d151f,90 79 7e 46 08 90 be 95 98 88 08 9f bb 95 98 88 f0 8e bd b4 c2 9c a0 44 0d ff 00,"そうか…
それってさ
ねらって出せるもんなの？","그렇구나…
그건 말이야
노리고 쓸 수 있는 거야?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":4,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":10,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":24,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"そうか<G0026>
それってさ
ねらって出せるもんなの？",SUPPORTED,0026
SCN_00030000_00740000_0018,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,17,0x008d189d,0x008d1898,7b 21 9c c2 99 44 08 5a f5 8b f0 30 f0 3b f0 3a f0 e2 7f 2e f4 7b a2 46 0d ff 00,"え、なんで？
直接ミランダが言えば…","어, 왜?
미란다가 직접 말하면 되잖아…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 06 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":6},{""offset"":6,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":24,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_07; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"え<G0001>なんで？
<G051A>接ミランダが<G041E>えば<G0026>",SUPPORTED,"0001,0026,041E,051A"
SCN_00030000_00740000_0019,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,18,0x008d18c7,0x008d18c2,75 92 8a 7f 2e f4 95 92 95 98 08 4e 90 c2 9c a0 7b f0 7e 95 98 bd ba 43 4f 08 95 98 21 3f f0 d1 9d 08 c8 f5 7e 9c 77 8b b5 9c 77 0d ff 00,"あたしが言ったって
「そんなの分かってるよ！」
って、ロクに
聞かないじゃない","내가 말해 봤자
「그런 건 알고 있다고!」
이러면서 제대로
듣지도 않잖아",UNASSIGNED,アロンソ,"[{""offset"":-5,""raw_hex"":""22 0e 00 24 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":36},{""offset"":10,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":25,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":33,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":43,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_alonso_03; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"あたしが<G041E>ったって
<G002E>そんなの分かってるよ！<G002F>
って<G0001>ロクに
聞かないじゃない",SUPPORTED,"0001,002E,002F,041E"
