id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note,canonical_jp_text,reference_glyph_status,reference_glyphs_used,image_glyph_status,image_glyphs_used
SCN_00241600_00740000_0006,SCENARIO,scenario_message,DATA/00241600.MDZ,DATA/00241600.MDT,0x00740000,00241600,5,0x002ef319,0x002ef314,b4 79 a6 f0 8a a1 f0 98 b0 c0 bc 92 77 9c 08 90 79 93 9c 21 90 bf 90 bf 46 46 0d ff 00,"もう少し見てまわりたいな
そうだな、そろそろ……","조금 더 둘러보고 싶어
그렇네, 슬슬……",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":14,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"もう少し見てまわりたいな
そうだな<G0001>そろそろ<G0026><G0026>",SUPPORTED,"0001,0026",NONE,
SCN_00241600_00740000_0007,SCENARIO,scenario_message,DATA/00241600.MDZ,DATA/00241600.MDT,0x00740000,00241600,6,0x002ef3f3,0x002ef3ee,90 79 9c a0 42 21 94 b9 95 9a 34 f5 95 98 43 08 79 c2 21 b4 79 8b b7 79 a8 c2 0d ff 00,"そうなの？、ちょっと待って！
うん、もうじゅうぶん","그래? 잠깐만 기다려!
응, 이제 충분해.",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"そうなの<G0022><G0001>ちょっと<G04F4>って！
うん<G0001>もうじ<G0097>うぶん",SUPPORTED,"0001,0022,04F4",SUPPORTED,0097
SCN_00241600_00740000_0009,SCENARIO,scenario_message,DATA/00241600.MDZ,DATA/00241600.MDT,0x00740000,00241600,8,0x002ef70f,0x002ef70a,b4 79 a6 f0 8a a1 f0 98 b0 c0 bc 92 77 9c 08 90 79 93 9c 21 90 bf 90 bf 46 46 0d ff 00,"もう少し見てまわりたいな
そうだな、そろそろ……","조금 더 둘러보고 싶어
그렇네, 슬슬……",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":14,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"もう少し見てまわりたいな
そうだな<G0001>そろそろ<G0026><G0026>",SUPPORTED,"0001,0026",NONE,
SCN_00241700_00740000_0005,SCENARIO,scenario_message,DATA/00241700.MDZ,DATA/00241700.MDT,0x00740000,00241700,4,0x003a286e,0x003a2869,46 90 be 83 bb 77 9d 8a 9a 84 ba 43 08 23 f2 d7 f0 93 7e bb 95 98 21 9c c2 99 b4 08 ec f1 95 98 bd 40 f0 d3 8b b5 9c 77 c2 93 ba 43 0d ff 00,"…それぐらいにしとけよ！
神人だからって、なんでも
知ってるワケじゃないんだよ！","…그쯤 해 둬!
신인이라고 해서 모든 걸
아는 건 아니라고!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 07 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":7},{""offset"":12,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":27,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":44,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_08; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"<G0026>それぐらいにしとけよ！
神人だからって<G0001>なんでも
知ってるワケじゃないんだよ！",SUPPORTED,"0001,0026",NONE,
SCN_00241700_00740000_0006,SCENARIO,scenario_message,DATA/00241700.MDZ,DATA/00241700.MDT,0x00740000,00241700,5,0x003a295f,0x003a295a,93 77 8b b9 79 a8 93 ba 08 c4 3d f0 26 f0 c5 eb a0 c6 f2 5b f1 a1 08 80 95 9a 21 d2 3c f0 26 f0 9d 2a f1 c0 bd 88 43 0d ff 00,"だいじょうぶだよ
アルフィナの熱意は
きっと、グリフに伝わるさ！","괜찮아
알피나의 열정은
분명 그리프에게 전해질 거야!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 02 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":2},{""offset"":8,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":22,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":39,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_03; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"だいじょうぶだよ
アルフィナの熱意は
きっと<G0001>グリフに伝わるさ！",SUPPORTED,0001,NONE,
SCN_00241700_00740000_0007,SCENARIO,scenario_message,DATA/00241700.MDZ,DATA/00241700.MDT,0x00740000,00241700,6,0x003a2a1e,0x003a2a19,7d 77 21 9c c2 93 ba 90 be 43 0d ff 00,おい、なんだよそれ！,"이봐, 그게 무슨 소리야!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 07 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":7},{""offset"":10,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_08; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,おい<G0001>なんだよそれ！,SUPPORTED,0001,NONE,
SCN_00241700_00740000_0008,SCENARIO,scenario_message,DATA/00241700.MDZ,DATA/00241700.MDT,0x00740000,00241700,7,0x003a2bc4,0x003a2bbf,75 75 43 21 c4 3d f0 26 f0 c5 eb 9c bb 08 79 b0 82 b6 95 98 b1 8e bd ba 08 4e 87 23 f2 9d f7 4f 95 98 a0 b4 08 dc f1 2d f1 21 b4 bb 7b bd a1 8d 88 0d ff 00,"ああ！、アルフィナなら
うまくやってみせるよ
「ご神託」ってのも
絶対、もらえるはずさ","그래! 알피나라면
잘 해낼 거야
‘신탁’이라는 것도
분명 받을 수 있을 거야.",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 03 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":3},{""offset"":13,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":24,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":36,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":49,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_04; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ああ！<G0001>アルフィナなら
うまくやってみせるよ
<G002E>ご神<G06FD><G002F>ってのも
絶対<G0001>もらえるはずさ",SUPPORTED,"0001,002E,002F",SUPPORTED,06FD
SCN_00241700_00740000_0009,SCENARIO,scenario_message,DATA/00241700.MDZ,DATA/00241700.MDT,0x00740000,00241700,8,0x003a2c64,0x003a2c5f,46 99 b4 88 21 7d 8b 88 c2 08 4e 87 23 f2 9d f7 4f 95 98 9b c2 9c da f0 c1 08 2e f4 c0 be bd a0 44 0d ff 00,"…でもさ、おじさん
「ご神託」ってどんな事を
言われるの？","…그런데 아저씨
‘신탁’으로는 어떤 말을
듣게 되는 거야?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":11},{""offset"":9,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":25,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":33,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_12; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"<G0026>でもさ<G0001>おじさん
<G002E>ご神<G06FD><G002F>ってどんな事を
<G041E>われるの？",SUPPORTED,"0001,0026,002E,002F,041E",SUPPORTED,06FD
SCN_00241700_00740000_0010,SCENARIO,scenario_message,DATA/00241700.MDZ,DATA/00241700.MDT,0x00740000,00241700,9,0x003a2ce6,0x003a2ce1,90 95 7e 43 21 8f f2 8a 80 77 f0 9a 7e 08 ba 82 7b f0 7e c2 9c 77 84 9b 08 d9 f0 57 f6 8a 98 21 86 86 b0 99 84 f1 92 c2 93 08 79 b0 82 77 7e 9c 80 b5 c8 df 93 ba 9c 43 0d ff 00,"そっか！、正しき道とか
よく分かんないけど
苦労して、ここまで来たんだ
うまくいかなきゃウソだよな！","그렇구나! 올바른 길이라니
잘은 모르겠지만
고생해서 여기까지 왔는데
잘되지 않으면 말이 안 되지!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 03 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":3},{""offset"":13,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":24,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":41,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":56,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_04; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"そっか！<G0001>正しき道とか
よく分かんないけど
苦<G05E7>して<G0001>ここまで来たんだ
うまくいかなきゃウソだよな！",SUPPORTED,"0001,05E7",NONE,
SCN_00241700_00740000_0011,SCENARIO,scenario_message,DATA/00241700.MDZ,DATA/00241700.MDT,0x00740000,00241700,10,0x003a2ddc,0x003a2dd7,93 77 8b b9 79 a8 44 08 35 f2 77 9a 86 a1 f0 94 b5 95 98 88 46 08 d2 3c f0 26 f0 95 98 21 90 c2 9c 9d 08 8c 87 77 35 f0 e5 9c a0 44 0d ff 00,"だいじょうぶ？
遠いとこ見ちゃってさ…
グリフって、そんなに
すごいヤツなの？","괜찮아?
멀리 바라보고 있길래…
그리프는 그렇게
대단한 존재야?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":21,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":34,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":44,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"だいじょうぶ？
遠いとこ見ちゃってさ<G0026>
グリフって<G0001>そんなに
すごいヤツなの？",SUPPORTED,"0001,0026",NONE,
