id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note,canonical_jp_text,reference_glyph_status,reference_glyphs_used
SCN_00030000_00740000_0185,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,184,0x008d9731,0x008d972c,94 7a 95 43 21 7d a2 88 c2 b0 99 08 30 f0 3b f0 3a f0 e2 b1 92 77 9c 86 9a 08 2e f4 c0 9c 77 99 82 be ba 43 0d ff 00,"ちぇっ！、おばさんまで
ミランダみたいなこと
言わないでくれよ！","쳇! 아줌마까지
미란다 같은 소리
하지 말라고!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 07 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":7},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":25,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":36,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_08; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ち<G005A>っ！<G0001>おばさんまで
ミランダみたいなこと
<G041E>わないでくれよ！",SUPPORTED,"0001,005A,041E"
SCN_00030000_00740000_0186,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,185,0x008d97bb,0x008d97b6,77 77 b6 21 cc 3e f0 a1 08 49 f1 42 f1 af f3 4d f0 d8 f3 99 b6 95 98 82 a0 88 43 08 62 f0 7a f1 7b f1 21 9c c2 9a 7e 9c bd 46 08 77 b6 21 9c c2 9a 7e 8a 98 b1 8e bd 88 43 0d ff 00,"いいや、オレは
飛行機一筋でやってくのさ！
大丈夫、なんとかなる…
いや、なんとかしてみせるさ！","아니, 난
비행기 하나만 보고 살아갈 거야!
괜찮아, 어떻게든 되겠지…
아니, 어떻게든 해내고 말 거야!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 09 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":9},{""offset"":8,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":27,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":42,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":57,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_10; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"いいや<G0001>オレは
飛行機一筋でやってくのさ！
大丈夫<G0001>なんとかなる<G0026>
いや<G0001>なんとかしてみせるさ！",SUPPORTED,"0001,0026"
SCN_00030000_00740000_0190,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,189,0x008d9b14,0x008d9b0f,4e 23 f2 3a f3 8a 4f 44 08 46 9c c2 93 77 90 bc b5 44 0d ff 00,"「神隠し」？
…なんだいそりゃ？","「신기루」?
…그게 뭐야?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":11},{""offset"":8,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":18,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_12; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"<G002E>神<G035A>し<G002F>？
<G0026>なんだいそりゃ？",SUPPORTED,"0026,002E,002F,035A"
SCN_00030000_00740000_0193,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,192,0x008d9de9,0x008d9de4,30 f0 3b f0 3a f0 e2 9d 42 08 81 f2 8b bb be 9c 77 9c 46 0d ff 00,"ミランダに？
信じられないな…","미란다한테?
믿을 수가 없네…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 06 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":6},{""offset"":9,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":19,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_07; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ミランダに<G0022>
信じられないな<G0026>",SUPPORTED,"0022,0026"
SCN_00030000_00740000_0196,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,195,0x008d9fe6,0x008d9fe1,b0 88 7e 43 08 94 b9 95 9a 8a 92 b5 f0 42 f1 ba 08 77 b0 88 bb 21 75 c2 9c aa f0 9d 08 23 f6 be 9c 77 95 98 a0 43 0d ff 00,"まさか！
ちょっとした旅行よ
いまさら、あんな家に
戻れないっての！","설마!
잠깐 여행하는 것뿐이야
이제 와서 그런 집으로
돌아갈 순 없다고!",UNASSIGNED,アロンソ,"[{""offset"":-5,""raw_hex"":""22 0e 00 22 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":34},{""offset"":4,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":16,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":28,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":38,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_alonso_01; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"まさか！
ちょっとした旅行よ
いまさら<G0001>あんな家に
戻れないっての！",SUPPORTED,0001
SCN_00030000_00740000_0200,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,199,0x008da4fb,0x008da4f6,46 90 be 95 98 21 86 86 93 9a 08 7e 9c bc a0 f1 d0 f5 93 9c 0d ff 00,"…それって、ここだと
かなり不便だな","…그거, 여기서는
꽤 불편하겠는데",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 05 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":5},{""offset"":10,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":20,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_06; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"<G0026>それって<G0001>ここだと
かなり不便だな",SUPPORTED,"0001,0026"
SCN_00030000_00740000_0201,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,200,0x008da5c3,0x008da5be,90 be 7f ba f2 80 92 bb 08 ac f3 6d f1 99 b4 21 b2 f1 9d 88 f0 9c 80 b5 08 9c bb 9c 82 9c bd a0 7e 46 0d ff 00,"それが尽きたら
危険でも、森に出なきゃ
ならなくなるのか…","그게 다 떨어지면
위험하더라도 숲으로
나가야 하는 건가…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 05 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":5},{""offset"":8,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":24,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":34,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_06; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"それが尽きたら
危険でも<G0001>森に出なきゃ
ならなくなるのか<G0026>",SUPPORTED,"0001,0026"
SCN_00030000_00740000_0203,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,202,0x008da71c,0x008da717,a1 a1 95 21 26 f5 7d f0 a1 08 75 a0 d2 3b f0 e8 c5 db 7d a2 88 c2 93 08 80 95 9a 21 4c f2 e7 f1 93 95 98 08 a4 f3 de f2 9d a1 6b f2 be 98 84 9c 77 88 43 0d ff 00,"ははっ、相手は
あのグラディスおばさんだ
きっと、妖精だって
簡単には連れてけないさ！","하핫, 상대가
그 글래디스 아줌마잖아
분명 요정이라도
쉽게 데려갈 순 없을 거야!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 03 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":3},{""offset"":9,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":23,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":35,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":51,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_04; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ははっ<G0001><G04E6>手は
あのグラディスおばさんだ
きっと<G0001>妖精だって
<G03C4>単には連れてけないさ！",SUPPORTED,"0001,03C4,04E6"
SCN_00030000_00740000_0207,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,206,0x008daa98,0x008daa93,b0 74 9c 43 21 99 b4 a2 f0 a3 f0 08 49 f1 42 f1 af f3 c1 77 8b bd d7 f0 ca f2 a1 08 c2 f4 d7 f0 8b b5 9c 82 98 32 f0 cd ec e4 d1 95 98 08 2e f4 79 c2 93 8f 44 0d ff 00,"まぁな！、でも村長
飛行機をいじる人間は
職人じゃなくてメカニックって
言うんだよ？","뭐, 그렇지! 하지만 촌장님,
비행기를 만지는 사람은
장인이 아니라 메카닉이라고
하는 거야!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0a 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":10},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":27,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":45,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":53,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_11; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ま<G0054>な！<G0001>でも<G0152>長
飛行機をいじる人間は
職人じゃなくてメカニックって
<G041E>うんだ<G006F>？",SUPPORTED,"0001,0054,006F,0152,041E"
SCN_00030000_00740000_0211,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,210,0x008dae60,0x008dae5b,75 75 46 21 cc 3e f0 a0 49 f1 42 f1 af f3 88 08 5d f5 27 f1 8a 92 c2 93 46 08 87 b3 c2 9c 21 a2 f0 a3 f0 46 0d ff 00,"ああ…、オレの飛行機さ
墜落したんだ…
ごめんな、村長…","아아… 내 비행기 말이지
추락했어…
미안해, 촌장님…",UNASSIGNED,アルフィナ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0c 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":12},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":25,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":36,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_alfina_01; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ああ<G0026><G0001>オレの飛行機さ
<G051D>落したんだ<G0026>
ごめんな<G0001><G0152>長<G0026>",SUPPORTED,"0001,0026,0152,051D"
