type,sample_id,cue_id,speaker,korean,duration_ms,fade_hold_ms,fade_out_ms,context,enabled,confidence,notes
battle_voice,4000,0x8E;0x8F;0x90;0x91;0x92;0x93;0x94;0x95;0x96;0x98;0x99;0x9E;0x9F;0xA2;0xA3,ユウキ,이 비장의 수를 받아라!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4002,0x01;0x02;0x03;0x05;0x06;0x07;0x0B;0x0C;0x16;0x17;0x20;0x21;0x22;0x23;0x24;0x89;0x8A;0x8B;0x8C;0x8D;0x8E;0x8F;0x90;0x91;0x92;0x93;0x94;0x9E;0x9F;0xA2;0xA3,ユウキ,"이 자식, 받아라!",2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4004,0xC8,ユウキ,"츠루기오, 네 힘을 해방하자!",3285,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4006,0x65;0x66;0x67;0x68;0x69;0x6A;0x6B;0x6C;0x6D;0x6E;0x6F;0x70;0x71;0x72;0x73;0x74;0x75;0x76;0x77;0x7C;0x7D;0x7E;0x7F;0x80;0x81;0x82;0x83;0x84;0x85;0x86;0x87;0x88;0xA0;0xA1,ユウキ,이럴 때는 이거지!,2837,400,350,battle_actor_class_0;battle_special_skill:天空剣;battle_special_skill:旋風剣;battle_special_skill:烈風<ACF2>舞;battle_special_skill:無敵のオーラ;battle_special_skill:疾風<B1F2>;battle_special_skill:竜<B1F2>剣,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4008,0x71;0x72;0x73;0x74;0x75;0x76;0x77;0x7C;0x7D;0x7E;0x7F;0x80;0x81;0x82;0x83;0x84;0x85;0x86;0x87;0x88;0x9A;0x9B;0x9C;0x9D;0xA0,ユウキ,좋아! 이걸 써볼까!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4010,0x78;0x79;0x7A;0x7B,ユウキ,"이걸 쓸 수밖에 없어. 부탁이야, 들어줘!",3584,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4012,0x01,ユウキ,쾅!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4014,0x02,ユウキ,뱅 스트라이크!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4016,0x05,ユウキ,젠가!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4018,0x03,ユウキ,지옥의 불길로 타올라라!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4020,0x06,ユウキ,뼛속까지 불태워주마!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4022,0x07,ユウキ,일격 필살! 데즌!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4024,0x04,ユウキ,불태워 없애라! 뱅 블레이즈!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4026,0x09,ユウキ,불꽃의 비를 맞아라!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4028,0x08,ユウキ,이 녀석을 날려버려! 사라져라!,3435,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4030,0x0B,ユウキ,그라긴!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4032,0x0C,ユウキ,솟구쳐라! 그랑죠!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4034,0x0D,ユウキ,유성의 철퇴! 어둠이여! 메테오 스트라이크!,4331,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4036,0x0F,ユウキ,키로!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4038,0x16,ユウキ,얼음의 칼날! 샤키아!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
battle_voice,4040,0x17,ユウキ,샤키가!,2837,400,350,battle_actor_class_0,0,AUTO_TRANSLATED_REVIEW,Subtitle_Show(sample_id) lookup; requires TRANSLATED_APPROVED after audio and Korean review.
